EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 06-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WROCLAW (STAID: 210).
Blended and updated with sources: 100660 912424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100660,19521128,   16,    0
100660,19521129,  -52,    0
100660,19521130,  -63,    0
100660,19521201,  -26,    0
100660,19521202,  -53,    0
100660,19521203,  -67,    0
100660,19521204,  -51,    0
100660,19521205,  -47,    0
100660,19521206,  -96,    0
100660,19521207, -107,    0
100660,19521208,  -48,    0
100660,19521209,  -60,    0
100660,19521210,  -63,    0
100660,19521211,  -36,    0
100660,19521212,  -11,    0
100660,19521213,   -5,    0
100660,19521214,    2,    0
100660,19521215,   -5,    0
100660,19521216, -102,    0
100660,19521217, -120,    0
100660,19521218,  -89,    0
100660,19521219,  -81,    0
100660,19521220,  -80,    0
100660,19521221,    0,    0
100660,19521222,    1,    0
100660,19521223,  -25,    0
100660,19521224,  -65,    0
100660,19521225,  -33,    0
100660,19521226,  -25,    0
100660,19521227,   -3,    0
100660,19521228,  -45,    0
100660,19521229,  -38,    0
100660,19521230,  -19,    0
100660,19521231,  -23,    0
100660,19530101,    4,    0
100660,19530102,    2,    0
100660,19530103,  -10,    0
100660,19530104,  -38,    0
100660,19530105,  -40,    0
100660,19530106,  -41,    0
100660,19530107,  -17,    0
100660,19530108,  -15,    0
100660,19530109,  -61,    0
100660,19530110,  -87,    0
100660,19530111,  -30,    0
100660,19530112,  -58,    0
100660,19530113,  -69,    0
100660,19530114,  -59,    0
100660,19530115, -107,    0
100660,19530116, -101,    0
100660,19530117,   -4,    0
100660,19530118,  -95,    0
100660,19530119,  -26,    0
100660,19530120, -124,    0
100660,19530121,  -96,    0
100660,19530122,    4,    0
100660,19530123,  -38,    0
100660,19530124,  -45,    0
100660,19530125,   -3,    0
100660,19530126, -107,    0
100660,19530127, -120,    0
100660,19530128,   -8,    0
100660,19530129,   30,    0
100660,19530130,   34,    0
100660,19530131,   24,    0
100660,19530201,    2,    0
100660,19530202,  -15,    0
100660,19530203,  -37,    0
100660,19530204,  -55,    0
100660,19530205,  -44,    0
100660,19530206,  -40,    0
100660,19530207,  -66,    0
100660,19530208, -169,    0
100660,19530209, -215,    0
100660,19530210,  -96,    0
100660,19530211,  -21,    0
100660,19530212,  -47,    0
100660,19530213,  -95,    0
100660,19530214,  -55,    0
100660,19530215,  -96,    0
100660,19530216,  -93,    0
100660,19530217,  -46,    0
100660,19530218,    2,    0
100660,19530219,    6,    0
100660,19530220,   32,    0
100660,19530221,   31,    0
100660,19530222,   53,    0
100660,19530223,   54,    0
100660,19530224,   23,    0
100660,19530225,  -34,    0
100660,19530226,  -42,    0
100660,19530227,  -37,    0
100660,19530228,   12,    0
100660,19530301,  -29,    0
100660,19530302,  -76,    0
100660,19530303,  -41,    0
100660,19530304,  -10,    0
100660,19530305,  -22,    0
100660,19530306,  -24,    0
100660,19530307,   -5,    0
100660,19530308,  -11,    0
100660,19530309,  -60,    0
100660,19530310,    5,    0
100660,19530311,  -42,    0
100660,19530312,  -42,    0
100660,19530313,  -89,    0
100660,19530314, -190,    0
100660,19530315, -155,    0
100660,19530316,  -52,    0
100660,19530317,   -5,    0
100660,19530318,   -9,    0
100660,19530319,  -26,    0
100660,19530320,   -2,    0
100660,19530321,    2,    0
100660,19530322,  -35,    0
100660,19530323,  -30,    0
100660,19530324,  -34,    0
100660,19530325,   45,    0
100660,19530326,   16,    0
100660,19530327,   32,    0
100660,19530328,  -18,    0
100660,19530329,   15,    0
100660,19530330,   88,    0
100660,19530331,   52,    0
100660,19530401,   22,    0
100660,19530402,   27,    0
100660,19530403,   72,    0
100660,19530404,   88,    0
100660,19530405,   81,    0
100660,19530406,   75,    0
100660,19530407,   40,    0
100660,19530408,   30,    0
100660,19530409,   28,    0
100660,19530410,   54,    0
100660,19530411,  -14,    0
100660,19530412,   10,    0
100660,19530413,   16,    0
100660,19530414,   51,    0
100660,19530415,  -12,    0
100660,19530416,   -3,    0
100660,19530417,   27,    0
100660,19530418,   20,    0
100660,19530419,   -1,    0
100660,19530420,  -22,    0
100660,19530421,  -50,    0
100660,19530422,  -18,    0
100660,19530423,  -20,    0
100660,19530424,  -13,    0
100660,19530425,   21,    0
100660,19530426,   50,    0
100660,19530427,   36,    0
100660,19530428,  102,    0
100660,19530429,   54,    0
100660,19530430,   78,    0
100660,19530501,   70,    0
100660,19530502,   52,    0
100660,19530503,   54,    0
100660,19530504,   96,    0
100660,19530505,   35,    0
100660,19530506,   71,    0
100660,19530507,   28,    0
100660,19530508,  -18,    0
100660,19530509,   -4,    0
100660,19530510,   -8,    0
100660,19530511,   30,    0
100660,19530512,   25,    0
100660,19530513,   18,    0
100660,19530514,    5,    0
100660,19530515,   -9,    0
100660,19530516,   55,    0
100660,19530517,   92,    0
100660,19530518,  125,    0
100660,19530519,   92,    0
100660,19530520,  108,    0
100660,19530521,  142,    0
100660,19530522,  126,    0
100660,19530523,  102,    0
100660,19530524,  110,    0
100660,19530525,  169,    0
100660,19530526,  112,    0
100660,19530527,  119,    0
100660,19530528,  110,    0
100660,19530529,   89,    0
